prd_id,cat_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt,dwh_create_date
478,AC_BC,BC-M005,"Mountain Bottle Cage",4,Mountain,2013-07-01,NULL,"2025-10-29 21:22:09"
479,AC_BC,BC-R205,"Road Bottle Cage",3,Road,2013-07-01,NULL,"2025-10-29 21:22:09"
477,AC_BC,WB-H098,"Water Bottle - 30 oz.",2,"Other Sales",2013-07-01,NULL,"2025-10-29 21:22:09"
483,AC_BR,RA-H123,"Hitch Rack - 4-Bike",45,"Other Sales",2013-07-01,NULL,"2025-10-29 21:22:09"
486,AC_BS,ST-1401,"All-Purpose Bike Stand",59,Mountain,2013-07-01,NULL,"2025-10-29 21:22:09"
484,AC_CL,CL-9009,"Bike Wash - Dissolver",3,"Other Sales",2013-07-01,NULL,"2025-10-29 21:22:09"
485,AC_FE,FE-6654,"Fender Set - Mountain",8,Mountain,2013-07-01,NULL,"2025-10-29 21:22:09"
215,AC_HE,HL-U509,"Sport-100 Helmet- Black",12,"Other Sales",2011-07-01,2012-06-30,"2025-10-29 21:22:09"
216,AC_HE,HL-U509,"Sport-100 Helmet- Black",14,"Other Sales",2012-07-01,2013-06-30,"2025-10-29 21:22:09"
217,AC_HE,HL-U509,"Sport-100 Helmet- Black",13,"Other Sales",2013-07-01,NULL,"2025-10-29 21:22:09"
220,AC_HE,HL-U509-B,"Sport-100 Helmet- Blue",12,"Other Sales",2011-07-01,2012-06-30,"2025-10-29 21:22:09"
221,AC_HE,HL-U509-B,"Sport-100 Helmet- Blue",14,"Other Sales",2012-07-01,2013-06-30,"2025-10-29 21:22:09"
222,AC_HE,HL-U509-B,"Sport-100 Helmet- Blue",13,"Other Sales",2013-07-01,NULL,"2025-10-29 21:22:09"
212,AC_HE,HL-U509-R,"Sport-100 Helmet- Red",12,"Other Sales",2011-07-01,2012-06-30,"2025-10-29 21:22:09"
213,AC_HE,HL-U509-R,"Sport-100 Helmet- Red",14,"Other Sales",2012-07-01,2013-06-30,"2025-10-29 21:22:09"
214,AC_HE,HL-U509-R,"Sport-100 Helmet- Red",13,"Other Sales",2013-07-01,NULL,"2025-10-29 21:22:09"
487,AC_HP,HY-1023-70,"Hydration Pack - 70 oz.",21,"Other Sales",2013-07-01,NULL,"2025-10-29 21:22:09"
451,AC_LI,LT-H902,"Headlights - Dual-Beam",14,Road,2012-07-01,NULL,"2025-10-29 21:22:09"
452,AC_LI,LT-H903,"Headlights - Weatherproof",19,Road,2012-07-01,NULL,"2025-10-29 21:22:09"
450,AC_LI,LT-T990,"Taillights - Battery-Powered",6,Road,2012-07-01,NULL,"2025-10-29 21:22:09"
447,AC_LO,LO-C100,"Cable Lock",10,"Other Sales",2012-07-01,NULL,"2025-10-29 21:22:09"
446,AC_PA,PA-T100,"Touring-Panniers- Large",52,Touring,2012-07-01,NULL,"2025-10-29 21:22:09"
448,AC_PU,PU-0452,Minipump,8,"Other Sales",2012-07-01,NULL,"2025-10-29 21:22:09"
449,AC_PU,PU-M044,"Mountain Pump",10,Mountain,2012-07-01,NULL,"2025-10-29 21:22:09"
480,AC_TT,PK-7098,"Patch Kit/8 Patches",1,"Other Sales",2013-07-01,NULL,"2025-10-29 21:22:09"
535,AC_TT,TI-M267,"LL Mountain Tire",9,Mountain,2013-07-01,NULL,"2025-10-29 21:22:09"
536,AC_TT,TI-M602,"ML Mountain Tire",11,Mountain,2013-07-01,NULL,"2025-10-29 21:22:09"
537,AC_TT,TI-M823,"HL Mountain Tire",13,Mountain,2013-07-01,NULL,"2025-10-29 21:22:09"
538,AC_TT,TI-R092,"LL Road Tire",8,Road,2013-07-01,NULL,"2025-10-29 21:22:09"
539,AC_TT,TI-R628,"ML Road Tire",9,Road,2013-07-01,NULL,"2025-10-29 21:22:09"
540,AC_TT,TI-R982,"HL Road Tire",12,Road,2013-07-01,NULL,"2025-10-29 21:22:09"
541,AC_TT,TI-T723,"Touring Tire",11,Touring,2013-07-01,NULL,"2025-10-29 21:22:09"
528,AC_TT,TT-M928,"Mountain Tire Tube",2,Mountain,2013-07-01,NULL,"2025-10-29 21:22:09"
529,AC_TT,TT-R982,"Road Tire Tube",1,Road,2013-07-01,NULL,"2025-10-29 21:22:09"
530,AC_TT,TT-T092,"Touring Tire Tube",2,Touring,2013-07-01,NULL,"2025-10-29 21:22:09"
